Journals,One Life,"29,125,450","29,125,450","29,132,167"
Journals,PYD,"21,906,630","21,906,630","21,910,270"
Journals,Recovery,"41,589,454","41,589,454","41,596,829"
Journals,Roller Coaster,"43,354,629","43,354,629","43,360,921"
Journals,Swap It Out,"26,377,806","26,377,806","26,384,936"
Journals,What's Hatnin',"21,423,298","21,423,298","21,426,523"
Purpose,All In It,"63,556,756","63,556,756","63,564,464"
Purpose,Been You,"104,683,385","104,683,385","104,696,551"
Purpose,Children,"114,299,085","114,299,085","114,311,248"
Purpose,Company,"417,610,942","417,610,942","417,703,937"
Purpose,Get Used To It,"82,421,757","82,421,757","82,431,812"
Purpose,I'll Show You,"321,789,960","321,789,960","321,833,882"
Purpose,Life Is Worth Living,"145,352,415","145,352,415","145,379,185"
Purpose,Love Yourself,"1,748,270,647","1,748,270,647","1,748,918,888"
Purpose,Mark My Words,"154,488,859","154,488,859","154,506,723"
Purpose,No Pressure,"175,833,527","175,833,527","175,857,291"
Purpose,No Sense,"141,363,502","141,363,502","141,390,808"
Purpose,Purpose,"313,065,803","313,065,803","313,138,886"
Purpose,Sorry,"1,589,689,014","1,589,689,014","1,590,114,175"
Purpose,The Feeling,"223,522,573","223,522,573","223,555,914"
Purpose,Trust,"67,081,167","67,081,167","67,089,002"
Purpose,We Are,"73,616,140","73,616,140","73,623,823"
Purpose,What Do You Mean?,"1,280,930,177","1,280,930,177","1,281,206,950"
Purpose,What Do You Mean? - Acoustic,"161,183,768","161,183,768","161,205,662"
Purpose,Where Are ?? Now,"952,270,244","952,270,244","952,429,130"
Changes,All Around Me,"65,416,240","65,416,240","65,448,403"
Changes,At Least For Now,"27,592,873","27,592,873","27,601,750"
Changes,Available,"49,902,901","49,902,901","49,920,483"
Changes,Changes,"55,549,996","55,549,996","55,584,718"
Changes,Come Around Me,"99,131,413","99,131,413","99,190,421"
Changes,Confirmation,"43,352,975","43,352,975","43,372,023"
Changes,E.T.A.,"42,148,066","42,148,066","42,167,116"
Changes,Forever (feat. Post Malone & Clever),"189,230,190","189,230,190","189,305,068"
Changes,Get Me (feat. Kehlani),"95,660,331","95,660,331","95,692,500"
Changes,Habitual,"67,861,671","67,861,671","67,895,742"
Changes,Intentions (feat. Quavo),"893,323,309","893,323,309","893,687,716"
Changes,Running Over (feat. Lil Dicky),"46,573,234","46,573,234","46,588,594"
Changes,Second Emotion (feat. Travis Scott),"50,909,442","50,909,442","50,935,626"
Changes,Take It Out On Me,"30,087,184","30,087,184","30,095,984"
Changes,That's What Love Is,"39,758,660","39,758,660","39,782,657"
Changes,Yummy,"655,812,255","655,812,255","656,014,227"
Changes,Yummy - Summer Walker Remix,"39,763,175","39,763,175","39,774,535"
Justice,2 Much,"78,667,247","78,667,247","78,782,895"
Justice,Anyone,"450,375,727","450,375,727","450,804,516"
Justice,As I Am (feat. Khalid),"148,382,674","148,382,674","148,539,334"
Justice,Deserve You,"67,868,569","67,868,569","67,961,144"
Justice,Die For You (feat. Dominic Fike),"61,102,487","61,102,487","61,190,817"
Justice,Ghost,"398,465,545","398,465,545","400,635,771"
Justice,Hold On,"465,748,895","465,748,895","466,255,684"
Justice,Holy (feat. Chance The Rapper),"602,686,150","602,686,150","603,007,472"
Justice,Lonely (with benny blanco),"570,403,665","570,403,665","570,777,407"
Justice,Love You Different (feat. BEAM),"53,275,917","53,275,917","53,339,971"
Justice,Loved By You (feat. Burna Boy),"61,023,408","61,023,408","61,102,672"
Justice,MLK Interlude,"18,257,522","18,257,522","18,274,765"
Justice,Off My Face,"121,675,118","121,675,118","121,915,313"
Justice,Peaches (feat. Daniel Caesar & Giveon),"1,059,346,970","1,059,346,970","1,060,336,849"
Justice,Somebody,"57,270,063","57,270,063","57,350,284"
Justice,Unstable (feat. The Kid LAROI),"96,739,423","96,739,423","96,868,158"
Justice,Angels Speak,"10,029,619","10,029,619","10,063,686"
Justice,Hailey,"26,316,906","26,316,906","26,407,178"
Justice,I Can't Be Myself (feat. Jaden),"23,317,946","23,317,946","23,351,577"
Justice,Know No Better (feat. DaBaby),"19,177,421","19,177,421","19,205,102"
